horizon,mse,rmse,mae,mape,mdape,smape,coverage
9 days,2.114949981055047,1.4542867602557095,1.101936331003476,0.24098135651608757,0.10667701370219605,0.1861157327875753,0.78125
10 days,2.158853585625745,1.4693037758155203,1.1376296480953618,0.24828655142008554,0.11873131084749548,0.19247467514701702,0.7916666666666666
11 days,2.2095818338282633,1.486466223574644,1.1814176330341128,0.24627972663991887,0.1223817811515513,0.19509476975314338,0.7890625
12 days,2.002033495462616,1.414932328934008,1.146042552799803,0.217018538424791,0.13338577182019312,0.18139385362548824,0.8046875
13 days,1.5436785209482202,1.2424485989159553,1.0165751183824963,0.16799419427500267,0.11873131084749548,0.15485210293366633,0.84375
14 days,1.3057691789386388,1.1427025767620544,0.93663608042049,0.14644064583117553,0.11873131084749548,0.1396718261190005,0.8671875
15 days,1.3472920541798483,1.1607291045630967,0.9730968364674037,0.1459536056708908,0.11841345913819432,0.14240821239966384,0.875
16 days,1.4526443535333784,1.2052569657684533,1.0186388712605439,0.16344754586393492,0.13025953265376286,0.15429092026319943,0.8671875
17 days,1.3399328573414828,1.157554688704375,0.9642757739715876,0.15435568679948058,0.11593377583811167,0.1456540800960328,0.875
18 days,1.305571863078777,1.142616236134765,0.9517337966756108,0.14950407600555604,0.10879667480730354,0.14210308209388597,0.875
19 days,1.2114685884924112,1.1006673377966711,0.8807452784056482,0.1377935489151456,0.095188913217451,0.13119007128106888,0.875
20 days,1.2072352083142999,1.0987425577970027,0.8810594276804204,0.13474024820139036,0.095188913217451,0.12959951487965524,0.875
21 days,1.2085524578093894,1.0993418293730979,0.8463119242442575,0.1308807406659627,0.07304294968707617,0.12503690831632897,0.8828125
22 days,1.1113825430888415,1.0542212970191986,0.8231705881370522,0.13000957947897193,0.07458494840189356,0.12375449770870338,0.9166666666666666
23 days,1.1488155879561681,1.071828152250242,0.8428887494051042,0.1348208538501209,0.07458494840189356,0.1275943339881657,0.90625
24 days,1.160326667693022,1.0771846024210623,0.8371524331696437,0.13901797985626507,0.07304294968707617,0.12912138116036315,0.875
25 days,0.981104382884725,0.9905071341917356,0.7442967619436125,0.12117169022014351,0.06996947718547464,0.11358850494251196,0.890625
26 days,1.009299842199855,1.004639160196264,0.7520736331119328,0.11714349590485236,0.06936242911231968,0.11209743608684065,0.90625
27 days,1.0658430408156327,1.0323967458373902,0.7906700056706761,0.12373552080305757,0.07176319705116911,0.11822908589438465,0.90625
28 days,1.5653964230828987,1.2511580328171572,0.9592860431059826,0.1574354980006725,0.09762605507270056,0.14599944719803296,0.84375
29 days,1.5618185894975287,1.2497274060760326,0.9772879601856161,0.15966720536489742,0.10621637533090922,0.1492865370920544,0.8515625
30 days,1.3626983661068366,1.1673467206048238,0.9115634478460897,0.14891879644367037,0.10147750452363964,0.13924092592566126,0.875
31 days,1.4240601016713659,1.1933398936059105,0.9375136597571574,0.1512523683574239,0.1073931512328385,0.14151857867600953,0.8515625
32 days,1.7542853126948093,1.3244943611411901,1.0275251142348842,0.19933268203422705,0.1073931512328385,0.165511431283785,0.8541666666666666
33 days,1.7609770366594264,1.327018099597525,1.0499669264418128,0.20012726122863408,0.12937362237477135,0.16782962729496348,0.875
34 days,1.7883489258581982,1.3372916382966724,1.0815441063936764,0.2028340397639274,0.13779881766611357,0.1711999278637579,0.875
35 days,1.6493444687003844,1.2842680673054143,1.0009671103055409,0.19025497214104384,0.11172995138759635,0.1590678751112743,0.875
36 days,1.360648306966851,1.1664683051702909,0.8883076391170541,0.16870589169988104,0.10428191845981952,0.14057699722953004,0.90625
37 days,1.053506738723271,1.0264047635914746,0.7699615626349744,0.14748715864962533,0.08720540371001784,0.12158085533974933,0.9375
38 days,0.9883183387678085,0.9941420113685009,0.7122537297644013,0.14099306409572013,0.07995028073334032,0.11399987406402676,0.9375
39 days,0.9533613808909484,0.9764022638702495,0.6935570347757767,0.13693267781067128,0.07178241242153513,0.11106069369696506,0.953125
40 days,0.755547743935427,0.8692224939193802,0.633991808318477,0.10587739320831088,0.07178241242153513,0.09510058822904355,0.984375
41 days,0.8306515270332893,0.9114008596843045,0.666196239522593,0.10381672280346597,0.07221096239028421,0.09806081538679783,0.96875
42 days,0.9934910447576587,0.9967402092609983,0.7035532260412252,0.11662117455135607,0.06746481603157722,0.10630521858238819,0.9375
43 days,0.9610748304835655,0.9803442408070573,0.6906231549710216,0.1147149792017418,0.0647323487164703,0.10425911826909066,0.9375
44 days,1.207125176782738,1.0986924850852207,0.8209754101111779,0.1319539733461654,0.08091513715291665,0.12148587552562402,0.90625
45 days,1.3026732602744084,1.1413471252315872,0.8746571908235033,0.13988817915434784,0.10651112117507702,0.12947961620685983,0.90625
46 days,1.4745866050385321,1.2143255762103227,0.9815099718079021,0.1531609565060476,0.12871541451522764,0.14388452480616587,0.90625
47 days,1.701027147508067,1.304234314649046,1.0901437913076042,0.1689663379256041,0.15204613678702988,0.15833260873784305,0.875
48 days,1.9053391815657765,1.3803402412324928,1.182483607912249,0.18790931921451268,0.15515998912690646,0.1735292152490983,0.8125
49 days,1.8128026829823523,1.3464036107283552,1.186487436962524,0.17872089497962926,0.15953151568056378,0.16970056824845953,0.8359375
50 days,1.5987511299740123,1.2644173084761265,1.1018913701511357,0.1594776550672012,0.15204613678702988,0.15455444728165865,0.859375
51 days,1.6521277699345154,1.2853512243486274,1.1212893916798845,0.15620980401351653,0.15515998912690646,0.15458299305902748,0.84375
52 days,1.8972097642595709,1.3773923784672146,1.1691555923794383,0.18092142648003132,0.15953151568056378,0.16880627366873543,0.8046875
53 days,1.8121459297196811,1.34615969696009,1.1335941182985945,0.17586390468459215,0.15204613678702988,0.1635850224054487,0.8125
54 days,1.9104476656943663,1.3821894463836593,1.1454049803597162,0.18362735713772535,0.15728189726432376,0.1671110498219797,0.75
55 days,2.045721559882371,1.4302872298536302,1.132979321777955,0.1920179385729252,0.13159238833781625,0.16858907836523232,0.734375
56 days,1.8349966868570005,1.3546204955104586,1.0488079131033585,0.17547054982390684,0.10683862640445202,0.15464005182586585,0.78125
57 days,1.6447932886225531,1.2824949468214497,0.961478114075684,0.16049723459082801,0.08931064242177413,0.14108992024758849,0.8125
58 days,1.703496604342473,1.3051806788113565,0.9947503671029511,0.16149240551474586,0.09793269464048224,0.14392710144427975,0.8125
59 days,2.088647879181877,1.4452155130574391,1.1123340122076686,0.19600459705603882,0.09952901477158019,0.16763789512211244,0.765625
60 days,1.9343375134908192,1.390804628080745,1.0760257982137127,0.1866708982591761,0.10297043425390305,0.1606413779857775,0.796875
61 days,1.7552860421112293,1.3248720851883133,1.0421117357495948,0.17062203451745386,0.09952901477158019,0.15125527405424796,0.8125
62 days,1.776995566038556,1.333039971658223,1.0557902622244224,0.17102254657319543,0.10828768756339402,0.15221189417498654,0.828125
63 days,1.9407833928684517,1.3931200209847145,1.103243122477717,0.18587567239275493,0.11008671612508643,0.16147957712355349,0.8515625
64 days,1.704623992941347,1.305612497236966,1.0419322069867474,0.16899263251727553,0.10714809912328746,0.1502371608620403,0.875
65 days,1.6684915039759418,1.2917010118351466,1.0226166944163722,0.16826667079920177,0.10714809912328746,0.1487675441644931,0.875
66 days,2.2084443466076573,1.486083559766293,1.1603619262302718,0.2205689750475719,0.11449646593332002,0.17864151622857594,0.84375
67 days,1.945111604868102,1.3946725798079282,1.0414133828528636,0.20377588990185458,0.10476946281559546,0.1629961004425656,0.859375
68 days,1.6358986266871383,1.2790225278262843,0.9534708391914081,0.18208861890635034,0.1062441169808643,0.1476555125976993,0.90625
69 days,1.5783461152147091,1.2563224567023823,0.9169910147614871,0.17651052326228026,0.08770966351966661,0.14292748520061835,0.921875
70 days,1.4307081801889316,1.1961221426714463,0.8316930251840411,0.16385498433035708,0.07909555954215344,0.13123040862642044,0.9375
71 days,1.6261188626647094,1.2751936569261586,0.8670285856120683,0.1850581139180641,0.07909555954215344,0.14213332640118392,0.921875
72 days,1.5716703285531206,1.2536627650820298,0.8637892630259664,0.17432295054807326,0.07909555954215344,0.1376333716296274,0.90625
73 days,1.6067020589410013,1.267557517014909,0.8809574919054877,0.1759904327247302,0.08475893193691039,0.13961830057626443,0.90625
74 days,1.527893827770234,1.2360800248245394,0.8753508628992743,0.1664168812335834,0.08626759228403365,0.13582897757735823,0.9140625
75 days,1.5511572872176256,1.245454650807337,0.9085746641883138,0.15475659023189695,0.08256569267231163,0.1350833880000182,0.875
76 days,1.728132378170914,1.3145844887913876,0.9933184238052057,0.16459140510353454,0.09184057550119695,0.14577444863933356,0.84375
77 days,1.6767874824387778,1.2949082911306027,0.9699702701616415,0.15968644756361594,0.09184057550119695,0.14187868357307748,0.84375
78 days,1.7139845887937082,1.309192342168907,0.9918374679677319,0.16282244362554005,0.10042714939406104,0.14541736456645302,0.84375
79 days,1.7209958906895881,1.3118673296829935,0.992283722995566,0.16359467636297007,0.11260239785102896,0.1459098939982054,0.84375
80 days,1.3128911813559343,1.1458146365603532,0.8989528346595153,0.12649668053571878,0.10827185460199258,0.12439121659030133,0.875
81 days,1.1134431420656221,1.0551981529862635,0.8062083102326034,0.11726220312481146,0.08806620803462309,0.11370848928361632,0.90625
82 days,1.0564939325139147,1.0278589069098514,0.7857444979613778,0.1149049848662253,0.08817085465558348,0.11124332653149624,0.90625
83 days,0.9313266703922344,0.9650526775219239,0.7370139931244356,0.10564611412314548,0.08186203091792221,0.10376648106253467,0.921875
84 days,0.5502042644987604,0.7417575510224081,0.6069944860151352,0.08133669437096118,0.07721186462163544,0.08387691804381436,0.9791666666666666
85 days,0.5001709443732922,0.7072276467823442,0.588500437258428,0.07945560990471964,0.07721186462163544,0.0806673103084051,1.0
86 days,0.5588986205381301,0.7475952250637574,0.6168017395960327,0.08280629122147361,0.07510354547156783,0.08409132484490998,1.0
87 days,0.5923306538565468,0.7696302059148581,0.6435306991431138,0.08796994535801843,0.07721186462163544,0.08859498132665763,1.0
88 days,0.5884947176636866,0.7671340936653034,0.6429375918649496,0.0876892719310012,0.07510354547156783,0.08841754398391626,1.0
89 days,0.8493784141986448,0.9216172818467787,0.7495776788540433,0.1044148137064406,0.07721186462163544,0.10490732362954414,0.9375
90 days,0.9628843398746544,0.9812667017048191,0.8266528960181027,0.11356215885948628,0.10626431753938506,0.11462448645483247,0.9375
